"path","size","sha256"
"CLAIM_CHANGE_RECORD.json","1298","14DBEF60BB3C1646F3C704260459AE02F872105308757A2CF3941DF0069523A0"
"FINAL_VALIDATION.json","6473","4C4B2C2E373E3DF5D181ECBB0BA521512C131449D03ABA2510278D3CF5579F90"
"manuscript/build.log","1242","323355CD2DF4B8F439564C3F4314ED25C24344276453E0BA02880100434DEE87"
"manuscript/CLAIM_LANGUAGE_DIFF.patch","3638","6DD835A1AC9049024875818953A29CB1A892AD52DB336B5405509587387B10B1"
"manuscript/INCLUSION_DECISION.md","773","B350895C0DF11F312A42B353E4A7D40DF55F029541DF789AD25AFF91CB4B9579"
"manuscript/main.aux","5892","D83CE20631C665FF3AF6A8AB7C18267D91148DB7E9AFB21BD30FDF0AA1DC6240"
"manuscript/main.bbl","2462","309C235E5D7F55DC881375FABF5B67AD70AB766216879ED52211919A9D7CC8DB"
"manuscript/main.blg","379","0D78A60ABC96272E29FC0AFDA82E8681D243D9DDF183989AE112163835C94C7B"
"manuscript/main.log","27943","CBEA95D5D5DF0144B3162AE2B4284C7C7D10F480E53292FACE6B310C32364CF2"
"manuscript/main.out","3364","2331E0BD777DE3B64F185E8230F2A2636E7D41015B9F587D21A314A6FD39CEF2"
"manuscript/main.pdf","66248","D346C39253B8BC44B96968A4509BED14369F0632742352ACA7EE5B8027F42ED3"
"manuscript/main.tex","26451","BD2963900E834BD2623958776476EF4B4576983B8F2926D4FEDA27509D496924"
"manuscript/MANUSCRIPT_DIFF.patch","49911","8FE608172B4B6E0B137AEFAB932D14EAB0CEA7F43B502727AC23F1BEC48579C1"
"manuscript/pair_condition_pattern.pdf","15788","48D6D71AC3AF9024847B2F05D251B15F41ABFB57B9A0670E2F22E7E3AE93F245"
"manuscript/qa/ANONYMITY_CLAIM_AUDIT.md","2158","610D17D06EA5ECC9D95D8E4166001FBA8A7D6B174C466AD3C82F714AF449C7B9"
"manuscript/qa/CLAIM_BOUNDARY_SEARCH.md","791","8DE98B932BCAFD404B9988E35AA12F9D65C2CF54C6890B57544555D7E7F1AF50"
"manuscript/qa/CLAIM_EVIDENCE_TRACEABILITY.json","2093","ACCD923846D091431B8CC1C628C473B07C02D2199A40560749990CCAF1C0B4C2"
"manuscript/qa/PAGE_COUNT.json","344","7D030342DF51602EA842D71DBBEDE442E146BB487448D2D65FFC2C8C2E43E65D"
"manuscript/qa/page-1.png","547677","5638C3FEA6684691846B406ABF5AC85717579CB8ECDC43DD38136981909897F5"
"manuscript/qa/page-2.png","455009","448D720BEBD01E6384DC92E0D51DB8B5B29CAE3F1DC6DB69955F47497D89C164"
"manuscript/qa/page-3.png","579480","FA591679BA0D2EE6B56541204769DEC31368A20F4885B85508D4EB971CA607CE"
"manuscript/qa/page-4.png","538304","FB012399B5A429514C3FAB54E9EA5057C19ED76BF3B87CDD6E0AA8A50831E3E3"
"manuscript/qa/page-5.png","271520","AA476F4C94DC65840D55C5ECF5534F475E2E6F8EA57EE74EA0472A4D384152D9"
"manuscript/qa/pdfinfo.txt","667","656CB1A20F47A648E44E14EC8A46A467682131A5A2B8D8E9749A120DA2802512"
"manuscript/qa/RENDERED_PAGE_QA.md","1283","A3E5179F5FE68DD16E1D363A26688A45C41ABF64A0944322F70EACE277783795"
"manuscript/references.bib","2440","B936C7F6AF1E173CEB771D5BB430F3652846B759C494E71B674D3071D387AC00"
"README.md","937","2F4441DF110C597CEDA4FCF9E3FC96497987B2F6A14340AEB6738856702BF28C"
