sha256,size_bytes,path
D8424545495CCF2EBA2BF87BE5B68CDA79D3AA41239217140F54D20BD0DCE91E,3151,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/FINAL_MANIFEST.json
F3DEC9EEED1D7C49942AA52A3722F7D571FBFAA0D98BEAC48F13B24C4BDF5C0C,3880,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/PARTIAL_SHA256SUMS.csv
3556D9902DD28DCA8FB86D504AFD5FF3A6C49CC01C49AB6B4FF476E92AFCF0CF,1494,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/amended_execution_plan.csv
3E633E91941F0604C1211E0D1CDA0EB9C1130340FFBC5085DA7610DF58E1DF88,233,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/backup_record.json
F6332F913FFA91432032AA1E5582AE78378F8880FC22D11B921C5B793ADC4E90,7957,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/bad_crc_results.json
99D2EC264CC60D28155A73168CEF208FE7AF857D20EF7C689F7D7442E86BF8DD,6861,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/campaign_results.json
75162001649DA1E164ECDEE7E539108E02DB2F2EFE74FE7A414B5D53F36353F2,250,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/configuration.json
1ED0C19F8A7FF0A336F8D03F94E1D14D7654F4AC40487AC806CC6130948EC23B,1501,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/continuation_manifest.json
9CA3337917A910E73C3DD4263E61C6D7E7338DFD4CA409A7CC7A954C309324C3,98670,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/continuation_results.json
C8B14F8FC9A05BF727CC1666D3115282EFD1CFD89AF9D32BE066C25D9A554551,11906,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/descriptive_summary.json
A1B3FF2486C1E7C08E768D8437D2A5C10B25866D6775BECE3059C41CE53B265F,1015,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/extension_source_state.json
FAD4DBAE0323F358A5C893377904CD2F88F9E9F2CA18FDED48DD594A8E966E46,4650,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/final_results_ledger.csv
1AE639C16552707CF0D56DAFE8E690F8242C304007F08C0C7E1EC16E0AE17601,1701,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/final_validation.json
6515796C07D37C19E21B0104B477EA4C6451B66A995EBEF6510725764441E727,20256,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/firmware/g431_extension_application.bin
FE591BF7292AD0D40F8FEE4AF5779118AE0D0083FF362F5BE9CCB156ADFE619E,4032,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/firmware/g431_extension_bootloader.bin
5581492429080BD58177A37733981ABA12DA6074BA40EAC0157B86E027B479E7,8944,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/firmware/g474_extension_firmware.bin
F6F48D46994E3DDE8386ECC2C508AA7553BF4A0503EC7D99F0FB0052388E3332,5059,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/manifest.json
3119D5994378E00C7ACE945B0FCB96CBA28C5855CDFEA445CD26570FD52A74FD,31245,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/nominal_validation_002.json
4D1CE606EC6D2D21AD71DEEF57D4EB605C18682CFF4DD678E82D100586D14A5C,2553,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/payload_recovery_validation.json
5B582DEAEC41AA88F0645EE78E0E305A2DED9ED6F22AC833A8CDDBB2DA1305AD,2395,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/plan_amendment.json
210ABA61561C0097D516AC9E8EF4A89719B159FF03311A1CC5B1BB1D3682EE63,1752,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/preflight_validation.json
18BD858A56363B26CA6F3A65FD5CF56AD28A6BDAAB31A3215621D83416C06DDD,1772,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/preflight_validation_post_nominal_serial_reopen.json
00F2130F3A784189D4A7718F46221B537C413FD20D81712F862DCE50361F4AF8,7888,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/bad_crc/SHORT/g431.log
A2B9EBD61D16B2324864D9824DF08F8F51C85B5EBF1660AEC7790FE3F5BDAE1F,427,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/bad_crc/SHORT/g474.log
F64E5F72B4E89F626F7FCC6B90885FF789B8B712498FDB34B2DC9EC5C37EDD68,8229,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/bad_crc/SUSTAINED/g431.log
9C4D37F649FFC20AA8A4C7B9FCC682CCB482AE0BB772267E2C026F3FE15BC5F4,427,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/bad_crc/SUSTAINED/g474.log
08185CD8D0C2782E00F2D899B27AA846CE066BA5BBA0080193914062E72A9CB1,6949,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R001_B1_D110/g431.log
0BD7E3756A94726BE27858F91F98FE7CA412814F32B7CF4B0CD50D7FC8F96324,466,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R001_B1_D110/g474.log
08022AE828B5AF1715BF9991FBCF8DF2B9D399263B90B64F131F2720D732EDF3,5047,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R002_B1_D500/g431.log
3062DA9486CE630E4821D075464766DFDFE863576288C3C4469F7F6A1F7E130D,254,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R002_B1_D500/g474.log
FFF599F39A432FA59CBD301129140E7941DECA96197740363BB27B0246640820,7317,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R003_B1_D150/g431.log
872BB2B3FDD3D89003E8611CBC079EADD77CE29C526C00F24D64B0E63FB75DA0,466,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R003_B1_D150/g474.log
DE8EEF7DF7C80E4E2BAB82245847D8A86779BBAE8507B8EA2B5D2142DBE45EF8,7879,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R004_B1_NC/g431.log
1C06A73E24DE08443B7E65103F01FA7DBA1830ED11B72066CE9DF0D1A92F95F4,424,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R004_B1_NC/g474.log
CBEB932465124A2DB4C23F8A65E9584757F8F6045F4DB2D2E8E6B43F744E5EA1,7879,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R005_B1_D050/g431.log
202C2A6AB125AE698CA1871B8ACC5A07843BAAF91CB655B4882E1B7EA726873E,463,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R005_B1_D050/g474.log
F8745341B480B453C51FA268034C308DDF9A90FDD8BB7A59984CE50A2C117778,7879,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R006_B1_D090/g431.log
FC039AEA4747035397A863FE58C76E98D09D1A1190EBD44448631621A5C83E82,463,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R006_B1_D090/g474.log
E894A68624A2B05CBFEF031B8512F3070E3B64EFBC2773B5A7884F41A705EA06,7444,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R007_B1_D250/g431.log
1C32F3CCE8D18770EAE2B878616E37E6B8C06D7D7488C968C26E56FB248B0366,466,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R007_B1_D250/g474.log
7061C49E0054892070731B4C1307363A9F47EC04CF1233C1D6BB875838814DC3,7444,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R008_B1_D100/g431.log
319D47DADF877CF6E63BF99671CB23773DE3923E6DCACE29AAD8F0884FF97297,466,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R008_B1_D100/g474.log
06D3FDEACE7D44D711921E3A8F4DFC60D7F2B1B5E3DC01C18DB6318D79257B59,7879,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R009_B1_NC/g431.log
BDAA1985EC673B5334E190B0EB1665719983E6CE6A0FEB1003FF4192C8E1A3FF,424,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R009_B1_NC/g474.log
1B5F2407BB6E5B54DB30A6C7CCE29C2307715FD405D601C1936FFB9B2BA6764E,7444,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R010_B2_D100/g431.log
08813B30A5D8DBFB5E7BA019622E5FA8D9768F9C596DCCB4528E244C407E6ADB,466,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R010_B2_D100/g474.log
6BAC5139D50CE75E622BBD5DD0BA2F3BC355398C73DAE077CF18ED5E1565ECC1,7879,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R012_B2_D050/g431.log
E41469BAC078052D1FD59496ED06097F22289FF94050A8C1CDE4A3EEB66795E3,463,research/icsec2026/extension/evidence/primary_20260830_seed20260830_b5/raw/campaign/R012_B2_D050/g474.log
