group_id,sha256,bytes,path,disposition,action,reason
026FC1386D8D88E2,026FC1386D8D88E26744CF7FC81C363E462B6DB79D3BA768BBB1968D29ED2CD0,538028,research/icsec2026/archive/manuscripts/f411_candidate_20260902/qa/page-3.png,ARCHIVED_HISTORY,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
026FC1386D8D88E2,026FC1386D8D88E26744CF7FC81C363E462B6DB79D3BA768BBB1968D29ED2CD0,538028,research/icsec2026/extension/analysis/f411_cross_pair_integration_20260902/manuscript_candidate/qa/page-3.png,IMMUTABLE_PROVENANCE_SNAPSHOT,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
06E18B612F8F28AF,06E18B612F8F28AF18E18629B05C971834D5EA3C9E2FF48284DA68AB8E433071,572007,research/icsec2026/archive/manuscripts/f411_candidate_20260902/qa/page-4.png,ARCHIVED_HISTORY,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
06E18B612F8F28AF,06E18B612F8F28AF18E18629B05C971834D5EA3C9E2FF48284DA68AB8E433071,572007,research/icsec2026/extension/analysis/f411_cross_pair_integration_20260902/manuscript_candidate/qa/page-4.png,IMMUTABLE_PROVENANCE_SNAPSHOT,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
08EFA189B5666D5C,08EFA189B5666D5C5CFEB5C1E6E41A061B0A655A8FE32934D6F3CE45869B867A,1115,research/icsec2026/archive/manuscripts/pre_final_active_20260902/qa/submission_readiness_20260902/RENDERED_PAGE_QA.md,ARCHIVED_HISTORY,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
08EFA189B5666D5C,08EFA189B5666D5C5CFEB5C1E6E41A061B0A655A8FE32934D6F3CE45869B867A,1115,research/icsec2026/archive/manuscripts/submission_candidate_20260902/qa/RENDERED_PAGE_QA.md,ARCHIVED_HISTORY,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
08EFA189B5666D5C,08EFA189B5666D5C5CFEB5C1E6E41A061B0A655A8FE32934D6F3CE45869B867A,1115,research/icsec2026/submission/PAGE_LAYOUT_QA.md,CANONICAL_ACTIVE,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
0D78A60ABC96272E,0D78A60ABC96272E29FC0AFDA82E8681D243D9DDF183989AE112163835C94C7B,379,research/icsec2026/archive/manuscripts/f411_candidate_20260902/main.blg,ARCHIVED_HISTORY,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
0D78A60ABC96272E,0D78A60ABC96272E29FC0AFDA82E8681D243D9DDF183989AE112163835C94C7B,379,research/icsec2026/archive/manuscripts/f411_candidate_corrected_20260902/main.blg,ARCHIVED_HISTORY,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
0D78A60ABC96272E,0D78A60ABC96272E29FC0AFDA82E8681D243D9DDF183989AE112163835C94C7B,379,research/icsec2026/archive/manuscripts/pre_final_active_20260902/main.blg,ARCHIVED_HISTORY,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
0D78A60ABC96272E,0D78A60ABC96272E29FC0AFDA82E8681D243D9DDF183989AE112163835C94C7B,379,research/icsec2026/extension/analysis/f411_claim_correction_20260902/manuscript/main.blg,IMMUTABLE_PROVENANCE_SNAPSHOT,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
0D78A60ABC96272E,0D78A60ABC96272E29FC0AFDA82E8681D243D9DDF183989AE112163835C94C7B,379,research/icsec2026/extension/analysis/f411_cross_pair_integration_20260902/manuscript_candidate/main.blg,IMMUTABLE_PROVENANCE_SNAPSHOT,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
13FB6DE3CC3F1254,13FB6DE3CC3F125417E58AD4FEE10CFC47A23EDDDFA867DDC5F6AE4735D61A34,667,research/icsec2026/archive/manuscripts/f411_candidate_20260902/qa/pdfinfo.txt,ARCHIVED_HISTORY,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
13FB6DE3CC3F1254,13FB6DE3CC3F125417E58AD4FEE10CFC47A23EDDDFA867DDC5F6AE4735D61A34,667,research/icsec2026/extension/analysis/f411_cross_pair_integration_20260902/manuscript_candidate/qa/pdfinfo.txt,IMMUTABLE_PROVENANCE_SNAPSHOT,NO_DELETE,exact SHA-256 duplicate retained for provenance; deletion not authorized
