old_path,new_path,action,bytes,pre_sha256,post_sha256,protected,reason
research/icsec2026/extension/final_pass_submission_20260902/ANONYMITY_PROVENANCE_AUDIT.md,research/icsec2026/submission/ANONYMITY_PROVENANCE_AUDIT.md,MOVE,1728,A17B6B949C42C58B69A2EB849DDAA9F83533EE9D7E2A183491AB190E848D51C8,A17B6B949C42C58B69A2EB849DDAA9F83533EE9D7E2A183491AB190E848D51C8,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/CLAIM_EVIDENCE_AUDIT.md,research/icsec2026/submission/CLAIM_EVIDENCE_AUDIT.md,MOVE,2962,63926D52D96087B340743B90A6421F8B4CBCAB81868500B8B3CC80574C10E148,63926D52D96087B340743B90A6421F8B4CBCAB81868500B8B3CC80574C10E148,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/FINAL_PDF_SHA256.txt,research/icsec2026/submission/FINAL_PDF_SHA256.txt,MOVE,75,F578B7D8D8EC8FE41396FE84769FBC1D90A97692BE0D75DA29380F6B8CEB5376,F578B7D8D8EC8FE41396FE84769FBC1D90A97692BE0D75DA29380F6B8CEB5376,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/FINAL_VALIDATION.json,research/icsec2026/submission/FINAL_VALIDATION.json,MOVE,4750,E060AEFFFDDC3F52696B5C3E43ADAB33A9E0706D5FCEF28147387DA7828F57BC,E060AEFFFDDC3F52696B5C3E43ADAB33A9E0706D5FCEF28147387DA7828F57BC,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/PACKAGE_SHA256SUMS.csv,research/icsec2026/submission/PACKAGE_SHA256SUMS.csv,MOVE,1190,54D60DBC8E9767AD5A87BC38642606D73431ECAAE7C2DFE45EBB06DB2570ED1C,54D60DBC8E9767AD5A87BC38642606D73431ECAAE7C2DFE45EBB06DB2570ED1C,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/PAGE_LAYOUT_QA.md,research/icsec2026/submission/PAGE_LAYOUT_QA.md,MOVE,1115,08EFA189B5666D5C5CFEB5C1E6E41A061B0A655A8FE32934D6F3CE45869B867A,08EFA189B5666D5C5CFEB5C1E6E41A061B0A655A8FE32934D6F3CE45869B867A,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/PROVENANCE_VERIFICATION.md,research/icsec2026/submission/PROVENANCE_VERIFICATION.md,MOVE,955,B7816A786C8E47149FB140253113850C5EFC175D3C637CEEC318C08D5C5F4F4A,B7816A786C8E47149FB140253113850C5EFC175D3C637CEEC318C08D5C5F4F4A,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/REFERENCE_VERIFICATION.md,research/icsec2026/submission/REFERENCE_VERIFICATION.md,MOVE,1741,2E3284A5AA0068F07DBCCD393AA81249C4C98BDBC49B10189B008EFFD152870B,2E3284A5AA0068F07DBCCD393AA81249C4C98BDBC49B10189B008EFFD152870B,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/SOURCE_COMMIT.txt,research/icsec2026/submission/SOURCE_COMMIT.txt,MOVE,380,ADF1ADAFC7B981D6853B1829163ECFEB36629CC5606FB8F8DB1C61C2A46114D7,ADF1ADAFC7B981D6853B1829163ECFEB36629CC5606FB8F8DB1C61C2A46114D7,true,authorized canonical submission package
research/icsec2026/extension/final_pass_submission_20260902/SUBMISSION_CHECKLIST.md,research/icsec2026/submission/SUBMISSION_CHECKLIST.md,MOVE,1442,749FE27307F8D09ECB6DD5EEB39FA4AE6926D1B3F2F0700997541BA0420A7F2A,749FE27307F8D09ECB6DD5EEB39FA4AE6926D1B3F2F0700997541BA0420A7F2A,true,authorized canonical submission package
