"path","size","sha256"
"INTEGRATION_VALIDATION.json","1812","36EC0728D192A3A8A4123CC2CDBDCC33DF842B025464D070E1BBCBC4AE9F37E8"
"manuscript_candidate/build.log","15185","EE805B07C4AB200BDE494CFABADAAC3F0C118C6D8E9151F79E5B8F44B56BD7A1"
"manuscript_candidate/INCLUSION_DECISION.md","670","9788C30FB10F1294DFCB61503731D4D8ECA2B3529008E15ADDF0AF32B6C9B430"
"manuscript_candidate/main.aux","5892","7335D309B96D5ED7B1409037C98A69A1A5DF83D4BB807D982EEE084E2F06EEC6"
"manuscript_candidate/main.bbl","2462","309C235E5D7F55DC881375FABF5B67AD70AB766216879ED52211919A9D7CC8DB"
"manuscript_candidate/main.blg","379","0D78A60ABC96272E29FC0AFDA82E8681D243D9DDF183989AE112163835C94C7B"
"manuscript_candidate/main.log","27943","8BFA90880E37941487CC1490B3EFDC07734525B99124ACAEF1F0058A9A0E4524"
"manuscript_candidate/main.out","3364","2331E0BD777DE3B64F185E8230F2A2636E7D41015B9F587D21A314A6FD39CEF2"
"manuscript_candidate/main.pdf","66151","2E3E684431608396122F018BE45A17BA7F05FAD92F1E017934FC9F624395A3F5"
"manuscript_candidate/main.tex","26355","E6E7942E895819FB9DA46CE28E31A8A1C39D39E453193A3445A18DD249236E44"
"manuscript_candidate/MANUSCRIPT_DIFF.patch","14599","37D946F68AC77FAAA3ED490317E829AA5FD92EDF503A7790C7120D640ACE1E27"
"manuscript_candidate/pair_condition_pattern.pdf","15788","48D6D71AC3AF9024847B2F05D251B15F41ABFB57B9A0670E2F22E7E3AE93F245"
"manuscript_candidate/qa/ANONYMITY_CLAIM_AUDIT.md","1822","45BBA0AF09AF5F24279FC89B8046973BB9937F10F32AACC579B864B6AEDBDFAB"
"manuscript_candidate/qa/CLAIM_EVIDENCE_TRACEABILITY.json","1901","341E7F932AE38972A881C855F6AE1767D84BDE680B7BA00F7F47A9FEFBA3A9FD"
"manuscript_candidate/qa/PAGE_COUNT.json","334","C0E9C97778DA54F0615AE8C10A511079A8EE96C26053A818E7313158507CF33E"
"manuscript_candidate/qa/page-1.png","548074","EBE668EF9E774B222BA1035FFFF7F4FAB870BC398FB805EEF3FC7A7CF4855F64"
"manuscript_candidate/qa/page-2.png","456973","894A9C2096F672DECD1BA578152CE8595DC07E625D65888138CF67BF9346EF9B"
"manuscript_candidate/qa/page-3.png","538028","026FC1386D8D88E26744CF7FC81C363E462B6DB79D3BA768BBB1968D29ED2CD0"
"manuscript_candidate/qa/page-4.png","572007","06E18B612F8F28AF18E18629B05C971834D5EA3C9E2FF48284DA68AB8E433071"
"manuscript_candidate/qa/page-5.png","262782","F77E7C99644D4B769561E0416EFAE59A6BE0BC1D1F1CDAACE681726D9A121590"
"manuscript_candidate/qa/pdfinfo.txt","667","13FB6DE3CC3F125417E58AD4FEE10CFC47A23EDDDFA867DDC5F6AE4735D61A34"
"manuscript_candidate/qa/RENDERED_PAGE_QA.md","1237","706F909D9B9D573811CE858A4D8EB7CE3BC4CD1C90A89D2794A35E4F648DFF5B"
"manuscript_candidate/references.bib","2440","B936C7F6AF1E173CEB771D5BB430F3652846B759C494E71B674D3071D387AC00"
"README.md","1196","C313B2B7310D05E921C0EFC699CBCA77BB41319103F5C812535566BBD0D7CD8C"
"synthesis/condition_outcomes.csv","846","EEF215CD18CADF3DE9466A665CEF56D49FCAC25FFEBDB5555CD3F66260C6A259"
"synthesis/FRIDAY_GAP_DECISION.md","1395","70BBBE40F013BFC2C7DC838BBB84F61572CC25E2FE76999939155366FD416926"
"synthesis/pair_comparison.csv","882","F966F62B74A5D62E2E5F7A0012425B298A31B02A5CF501F15E5D5EEFE4F5BBCD"
"synthesis/pair_condition_pattern.pdf","15788","48D6D71AC3AF9024847B2F05D251B15F41ABFB57B9A0670E2F22E7E3AE93F245"
"synthesis/pair_condition_pattern.png","60048","1B7AEC66353ECC8760FA260C0D5F5ED58F7B6358B31A275C9442FAAB3671FAFD"
"synthesis/PROVENANCE.json","13323","716D874980AF631EA09F143797C6B045123E8DFC68FCF981D1354C73F024E5EC"
"synthesis/SYNTHESIS.md","2751","E6206CF1479312AFAE23512DBB9FDD3029B9B3FC1CB773EA38361464A82064D2"
