"relative_path","size_bytes","sha256"
".gitattributes","9","54DA72FFE7B7A9529B193FF0DE762C16C29616BE3C582B4ED940400E6D2A8DED"
"acquisition_protocol.json","812","28B8FC4FCDD98E324F988C1BFBC4687769AC582D9D5D60F4BF916F292C6A05D5"
"acquisition_source_state.json","615","0AE19AEBE2EA276027A080EF34ADF71CCB360E1A6C211212FD97875CCF2EF83A"
"attempt_ledger.json","4479","713420D07D91B178777F0774DAA8BDE07CFA63BF3D3E0DF02F57A26914A6DC57"
"backup_plan.json","430","4C23F6E9A94484F58050146924292D9CF76DC4EA5F855F59982172F8C91CBE39"
"build_controller_clean.log","650","4444A9E904C4BE83E7B9A40829DB04111CBF426EA3B7F5EFC387580DB5CE6255"
"build_controller.log","12129","4A6CE9F1044B0D1E7EDB6797E2277A41737DAD7D9E99029C731981831DB243A7"
"build_exit_codes.json","99","ACCF297128AC096381F0DDB02778362A7AE3FC61F1BE56884BB3CF354454D163"
"build_payload_clean.log","595","D4F77AC765D21C0CFDA946EAE1F2C0756720D46B044456EB6B47ACEBA7A6EAFC"
"build_payload.log","9855","1FED322733556A8968317F51A343776ADBE42FC06989FE55FDE7002ECDAABDA7"
"build_test_validation.json","1057","D0662A1201942DDC9C6F5F891ADC5D158F56067C49084ACEE92EF2C4E0790D9D"
"campaign_validation.json","124073","7E129C0158A7EF515760F4469336FF6799D5F1EB00E3F946AA1975E1C0556FEC"
"commands.txt","1335","92CA3FA1BADAC8A74B7E77C530ADBE7682517C9DB5439B41F238267642AD9E21"
"condition_definitions.json","361","DA9160BC45519023721F2A84CA7C2284321CC082CE51EA04DB08E59D57AF25C9"
"controller_elf_header.txt","993","CBA9B046BE613EDBA13D7C4D4DDC7C6F297F8A7E7B282783B0799FE5604C97C6"
"controller_sections_map.txt","1923","3EA830CEA137F755C20455E3CE3F2D0E945C9537E48BD21598D75373F8055F88"
"controller_symbol_map.txt","13550","529D806DCA2A3D67DA8A934520BED83D461C98B7F5A89195904174FDBD528E47"
"counter_delta_summary.json","1721","F9AC32FCA8D231243B8C8C9E51E0E4E5C9CA8315A30333476E0A703468B8AE71"
"descriptive_condition_summary.json","2429","788847F6146624B30968111FF8D3BBCCD479B7C3C6BE881706BBC7E6EF795112"
"execution_record.json","577","D458BA196C38235E38B649A27CAEE6758FAD82E2FBFB9381256335B79240FA5C"
"final_attempt_ledger.json","4479","713420D07D91B178777F0774DAA8BDE07CFA63BF3D3E0DF02F57A26914A6DC57"
"final_disposition.json","398","103E5B2C03CEBA4A6CEAC4A1C93742FC6D1968AE94CC859763A91D04EDDFC3EC"
"final_validation.json","1329","96D96941861C157E544EE32A0BDB478DFFE1F55BCC5543AB07800510F652179B"
"firmware/f411_p1_fixed_controller.bin","19832","8686113C4A83E1600EBE66FB3B3F8795853011B4B0E69D91F9E68EBB3FD8FE68"
"firmware/f411_p1_fixed_controller.elf","158152","9AA52D103E977A8B18968A0B7F3D69E74361AC5E5FFDFA6B3CBC49A3AD722D78"
"firmware/f411_p1_payload.bin","8152","52F145488CAD9D3A9711F77DF1DFB9F76DFEAE6660FE9E1FBD5560AA738BFBBB"
"firmware/f411_p1_payload.elf","143396","0BC0EAAA7830B001CD31F1805C1002275E62FAF8DE6BC8C1AF44ABF5A2005493"
"hardware_enumeration.json","627","27EE87256B242E37A8F0EAC284728FFCC8AA376AFA5963C9C480274187CD6576"
"human_wiring_time_confirmation.json","689","FD9D8F1FAFAF2EA6F450160945175629968C0E3FA5563B5A8AAD22594464166D"
"independent_validation.json","648","9D4D6F4AF887F8AE3668FEC00EDD606000BA95C6CF6F806DAA1DD8CD376DD210"
"locked_attempt_ledger.json","2991","73BDB7CDBCCFCF24B9DD4B2521513407E3E576119E4D7637CFA1F32E9DC65076"
"locked_manifest.json","3387","768B7DC702384B19464AAC1AB374716AF18E8EE26733B713814676AF4ED80FC1"
"payload_elf_header.txt","993","1E364E6DAC756ECDFC6FD9A6064CFA850726DF990B81395FCEE7E2F0E7BECF78"
"payload_sections_map.txt","1694","D48022E03AFA2E5B8BAB29205EC8F423408B9AB796275AB2EBED35FE0DE8A1FF"
"payload_symbol_map.txt","6460","9D584D85F3384CC9C56DEE3CDA5569166224CD5283BD6EEA92D13A45AC9F981A"
"port_close_status.json","126","4B3827FC4E3D597F428F0CBFD7C51E10F73CC63F7E7486BE8BE3C1DC9B333D58"
"postacquisition_crosscheck.json","789","0446D908E36E152EC24725A41AD666462ADFCB02802F4AACDCABDEF186F07F85"
"preacquisition_inventory_reconciliation.json","1264","1E7942C5134A86B14258515DCD464E1196EF867FB68F27A1226E76D177E2504E"
"PREACQUISITION_SHA256SUMS.csv","3288","F82C38B2017204D723F74223051CEEF64D3F354005999C7C7C3A6BCFCED1B2FC"
"preacquisition_source_state.json","611","D4EF5710A409F6EDDD226F31C4181102B7E96D30B84B761F8606CC5168D8A13C"
"preacquisition_validation.json","895","88446D1EA1A782EC4DC6D5E75088007384584B4471DFB43D9079324FA90A2D3F"
"precheck_validation.json","5427","14474A0BD8778257FB9C644A61ADA6B8EC168AED4005DE67F4F444CD3A00F91A"
"prior_inventory_validation.json","1269","67270C7E49CD477B2349FBAE6A8DD4E1FC5B7D0F84C2BDC61525CD936678E84A"
"process_and_final_state.json","599","03C371E2378C2DCA2EA0A3EB3839B45070E3E81E10E12F80D14D64B652C976B4"
"raw/master/controller_readable.txt","54619","CFF1251C6DBCB4BF232F08DFBB9CB51FD02143EF74273DAD47EE8B41C5678036"
"raw/master/controller.log","115021","89043F6A79A6BAE277641C5FC7C941F04AF9BC4D75193684BB514922D2C0C2DE"
"raw/master/flash_controller.log","1335","DC702BCECB6430F69FE4A6AF6BD1390E86B38B0D1639364772F06890B96980DB"
"raw/master/flash_payload.log","1335","2AB32F0A2F969A52A1C180BA165BAAADB8813740E04E77E2206C072B5C9F7832"
"raw/master/payload_readable.txt","2334","785118651FD883E8590B44B77A1A87F9ABFD17043DDFE1158B808473F70D09BD"
"raw/master/payload.log","4338","014BD162E556AA9514D69996FBC3F8B5FDEF4B04BACA9BB0EDF6DE59A9F5AA19"
"raw/rows/F411P1_C01_B1_NC/controller_readable.txt","3266","5494123783BA7932646F9F4AE18073D8F7EB977630CA4D428FB982A5E18ACBD6"
"raw/rows/F411P1_C01_B1_NC/payload_readable.txt","110","45D1A0B0F3D5845F705DE75307E20AEC39C9DE93263ED5A4C083F9318E723B1E"
"raw/rows/F411P1_C01_B1_NC/validation.json","9219","A47FF2E8989D839DB8F7ACB4FD4972AB55DD821E365A3EF9776195BFB407BE96"
"raw/rows/F411P1_C02_B1_D110/controller_readable.txt","3212","623067043A59BA667D123BF74AF2AA2D1E6B587B70096764E8E577B2595B49CD"
"raw/rows/F411P1_C02_B1_D110/payload_readable.txt","179","418FD42C2DA9A7E128FBF7E8B27BDE7AE27A93CC504F7910046D18B8D8A735E9"
"raw/rows/F411P1_C02_B1_D110/validation.json","8595","0D5731F961727D254EB8DF735B8718A6AE21935FFC90186831F260ECE038D093"
"raw/rows/F411P1_C03_B1_D090/controller_readable.txt","3408","BDB123850BB6A26A0C3876706E4777DDF8D68E06DEEF9A822A05AB32FF033A68"
"raw/rows/F411P1_C03_B1_D090/payload_readable.txt","178","663B8E3E277DA009CC965329C66DECC4CCB0C0DCCBC8C0F91609AD218F73EC43"
"raw/rows/F411P1_C03_B1_D090/validation.json","9394","9DC94C2D26BD60CF5F67ED5A07E6E1BAE8A71369B11009319618EE3A64F85EC4"
"raw/rows/F411P1_C04_B1_D100/controller_readable.txt","3216","1A578B49362C6E30A749D98ADE7CC19ABB74FF718CEB5436EDE63E08020C07A1"
"raw/rows/F411P1_C04_B1_D100/payload_readable.txt","179","C49A5ADE153C40B1F803025E014B3373197F2ADEA63E172B9ECA3E74C75FD1A8"
"raw/rows/F411P1_C04_B1_D100/validation.json","8443","BDA0472D1890C8E7AE6323BD1A483ADC2D89D9856A0A061F95E2DD723465D18E"
"raw/rows/F411P1_C05_B2_D090/controller_readable.txt","3416","9D47840ECADD966A2A2CB9E4ECAA930E13248E98B828569A50D5B244CAF030B6"
"raw/rows/F411P1_C05_B2_D090/payload_readable.txt","178","3CE5838E84DB85B4887A8AEEF5EC27035464E7B1ABF8084A2701A0772C8488C9"
"raw/rows/F411P1_C05_B2_D090/validation.json","9400","5C28BE73DFFAFB0EF26E66652961698969E7BE6D19DD8AC17C9B228995C55D1A"
"raw/rows/F411P1_C06_B2_NC/controller_readable.txt","3416","EE50CA811E42E147D158BD4AEE5420A7F46EF50C566DBD4CE2ED873DC2CC35A9"
"raw/rows/F411P1_C06_B2_NC/payload_readable.txt","110","54DADB7F0116F9283D7E7AAF95061FC5856F18423808EEE5E7257E1F2F8F56BF"
"raw/rows/F411P1_C06_B2_NC/validation.json","9400","89DC8E57986CD6FDEAA6A5BA250698FADD4F74AF746F2300C7BA209AEA564573"
"raw/rows/F411P1_C07_B2_D100/controller_readable.txt","3220","2E7D734CC3CF6FF58A92806C908270B53448056EB8B3D21DBB7D92AC5D7FDDE1"
"raw/rows/F411P1_C07_B2_D100/payload_readable.txt","179","BA6DD773ADF8BF0D46BBDFA86086A44A0E2D965B34FA79E2FCAAAC9D5F4A4E2C"
"raw/rows/F411P1_C07_B2_D100/validation.json","8617","A88C502D4C0920C62D577EA0B63C8F3DF54E78208307454C2D8522EDCC3F57EA"
"raw/rows/F411P1_C08_B2_D110/controller_readable.txt","3220","3CDDEB4F19F00A3A60C31D7397A3EBA2CD5722E8D2F9FD63722A9BB598222C62"
"raw/rows/F411P1_C08_B2_D110/payload_readable.txt","179","C0B1C4061AEE04B5EE6F8C761726736FD88CDEB3BDB07D390071AD961C51A07D"
"raw/rows/F411P1_C08_B2_D110/validation.json","8435","D617ABCAD6BDABB1901A6EB82FBA1CAD102B685BEF4142332F2F83623FE744E9"
"raw/rows/F411P1_C09_B3_D100/controller_readable.txt","3220","2366730DE13E6E669F3E2EC4742CCE761D9B1E3B9F2B3C3C787A0BE3D161240D"
"raw/rows/F411P1_C09_B3_D100/payload_readable.txt","179","FF2A0F1768F8B006D403FEC3EEE9570A6065312C29C1D5556627FC120F836D5B"
"raw/rows/F411P1_C09_B3_D100/validation.json","8612","957486FDE9C898FAAA39848C65862F5A0E3B062A527911B81E76C465B0FD73AB"
"raw/rows/F411P1_C10_B3_D110/controller_readable.txt","3220","73517261B10D4BEA1217D5663EABA9708588F449B76B3CC8BD748178EB816508"
"raw/rows/F411P1_C10_B3_D110/payload_readable.txt","179","1B48A94FF85A28806FE88A485479E6A4ABBA944A34BBDB8623793C51636F3D1B"
